n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,112,replicate,2,zero,mean,0.7567934782608695,0.5947503258390354,0.5882352891349482,5600.55810546875
1,112,replicate,2,zero,max,0.7472826086956521,0.6074211226343493,0.6060606010651974,1114724.625
1,112,replicate,2,zero,topk_0.1,0.7554347826086956,0.5935964796851894,0.5882352891349482,52942.484375
1,112,replicate,2,zero,topk_0.05,0.7527173913043479,0.5913703973662969,0.5789473635457064,82782.9296875
1,112,replicate,2,mean_impute,mean,0.6413043478260869,0.4828571451855205,0.5116279023039481,0.91083163022995
1,112,replicate,2,mean_impute,max,0.4959239130434782,0.33094485171689103,0.4210526282548477,22.075572967529297
1,112,replicate,2,mean_impute,topk_0.1,0.5706521739130435,0.4291044606431724,0.46666666168888893,6.278988361358643
1,112,replicate,2,mean_impute,topk_0.05,0.5489130434782609,0.3866629461192059,0.4848484798530762,9.50548267364502
4,0,-,0,zero,mean,0.6385869565217391,0.3339143542385827,0.5238095190929706,13.627033233642578
4,0,-,0,zero,max,0.5027173913043478,0.24819522751349798,0.4687499962500001,2312.262939453125
4,0,-,0,zero,topk_0.1,0.6182065217391304,0.3189394675685949,0.48275861669441145,84.77790832519531
4,0,-,0,zero,topk_0.05,0.6032608695652174,0.30498398430318835,0.4912280661372731,141.2101593017578
4,0,-,0,mean_impute,mean,0.8342391304347826,0.6225703981570527,0.6511627860248783,1.945855975151062
4,0,-,0,mean_impute,max,0.5502717391304347,0.33140104499246,0.47999999564800006,137.15704345703125
4,0,-,0,mean_impute,topk_0.1,0.8288043478260869,0.606758184507545,0.6511627860248783,12.21958065032959
4,0,-,0,mean_impute,topk_0.05,0.8274456521739131,0.621725699069449,0.6451612853277836,20.83407974243164
4,0,-,1,zero,mean,0.43614130434782605,0.2367541493848742,0.4444444409876544,162.8045654296875
4,0,-,1,zero,max,0.42798913043478265,0.2818788848316577,0.43835616096078067,27841.31640625
4,0,-,1,zero,topk_0.1,0.42934782608695654,0.23494424225037708,0.4444444409876544,1351.718017578125
4,0,-,1,zero,topk_0.05,0.42934782608695654,0.23507185199872985,0.4444444409876544,2369.604736328125
4,0,-,1,mean_impute,mean,0.686141304347826,0.3515546008872599,0.5531914848709825,1.7293137311935425
4,0,-,1,mean_impute,max,0.5815217391304348,0.34601153143369745,0.461538457827219,105.32344818115234
4,0,-,1,mean_impute,topk_0.1,0.6875,0.35268889696399014,0.5882352898116109,9.625432968139648
4,0,-,1,mean_impute,topk_0.05,0.6793478260869565,0.34669569184394683,0.5882352898116109,15.470595359802246
4,0,-,2,zero,mean,0.6603260869565217,0.3985514446343704,0.4912280661372731,2641.873291015625
4,0,-,2,zero,max,0.65625,0.39585804413344206,0.4814814773113856,549297.1875
4,0,-,2,zero,topk_0.1,0.6603260869565217,0.3985514446343704,0.4912280661372731,24240.501953125
4,0,-,2,zero,topk_0.05,0.6603260869565217,0.3993591040267538,0.48275861669441145,44665.3046875
4,0,-,2,mean_impute,mean,0.7513586956521738,0.567086883527101,0.5384615337278107,1.4727063179016113
4,0,-,2,mean_impute,max,0.7540760869565217,0.5206044071611661,0.6190476143310658,41.62150573730469
4,0,-,2,mean_impute,topk_0.1,0.8016304347826086,0.5917667056916501,0.6285714236081633,6.979383945465088
4,0,-,2,mean_impute,topk_0.05,0.7948369565217391,0.5841211019486954,0.6111111061728396,10.278520584106445
4,64,reflect,0,zero,mean,0.5910326086956522,0.30169644268048235,0.5098039172625914,12.066314697265625
4,64,reflect,0,zero,max,0.47010869565217395,0.24645921151283395,0.44117646698961943,2262.05126953125
4,64,reflect,0,zero,topk_0.1,0.5692934782608696,0.2861447175658103,0.48275861669441145,79.65493774414062
4,64,reflect,0,zero,topk_0.05,0.5461956521739131,0.2747742821252883,0.47272726860165293,135.42335510253906
4,64,reflect,0,mean_impute,mean,0.7554347826086957,0.47325772873108346,0.571428567030404,1.7911787033081055
4,64,reflect,0,mean_impute,max,0.4293478260869566,0.2519045564746188,0.4102564069953978,72.05326843261719
4,64,reflect,0,mean_impute,topk_0.1,0.7296195652173914,0.44259043097242295,0.5599999956480001,11.095207214355469
4,64,reflect,0,mean_impute,topk_0.05,0.6915760869565217,0.4156975632082056,0.5357142816326531,16.728200912475586
4,64,reflect,1,zero,mean,0.42391304347826086,0.22676930710188783,0.4507042218607419,127.08331298828125
4,64,reflect,1,zero,max,0.40489130434782605,0.22055377190138115,0.44776119039429724,28577.375
4,64,reflect,1,zero,topk_0.1,0.4266304347826087,0.2274506324721778,0.4507042218607419,1071.6767578125
4,64,reflect,1,zero,topk_0.05,0.41711956521739135,0.22473904560250782,0.4507042218607419,1889.4251708984375
4,64,reflect,1,mean_impute,mean,0.6616847826086957,0.333593717828785,0.5769230726627219,1.3798304796218872
4,64,reflect,1,mean_impute,max,0.6317934782608696,0.3460617411153898,0.5185185143484226,111.19218444824219
4,64,reflect,1,mean_impute,topk_0.1,0.657608695652174,0.3321799493078016,0.5769230726627219,8.037341117858887
4,64,reflect,1,mean_impute,topk_0.05,0.6508152173913043,0.3310636182834459,0.5660377316340335,12.154388427734375
4,64,reflect,2,zero,mean,0.6820652173913043,0.5066068580919587,0.4999999951020409,5468.38916015625
